coalesced_purpose_name,donor,recipient
Industrial development,Canada,Czech Republic
Industrial development,Canada,Estonia
Industrial development,Canada,Hungary
Industrial development,Canada,India
Industrial development,Canada,Poland
Industrial development,Canada,Romania
Industrial development,Canada,Slovak Republic
Industrial development,Canada,Slovenia
Industrial development,Canada,South Africa
Industrial development,Canada,Thailand
Industrial development,Czech Republic,Estonia
Industrial development,Czech Republic,India
Industrial development,Czech Republic,Latvia
Industrial development,Czech Republic,Lithuania
Industrial development,Denmark,Colombia
Industrial development,Denmark,India
Industrial development,Denmark,South Africa
Industrial development,Denmark,Thailand
Industrial development,Finland,Czech Republic
Industrial development,Finland,Estonia
Industrial development,Finland,Hungary
Industrial development,Finland,India
Industrial development,Finland,Poland
Industrial development,Finland,South Africa
Industrial development,Finland,Thailand
Industrial development,France,Chile
Industrial development,France,Colombia
Industrial development,France,Cyprus
Industrial development,France,Czech Republic
Industrial development,France,India
Industrial development,France,Korea
Industrial development,France,Latvia
Industrial development,France,Lithuania
Industrial development,France,Poland
Industrial development,France,Romania
Industrial development,France,Thailand
Industrial development,Germany,Brazil
Industrial development,Germany,Chile
Industrial development,Germany,Colombia
Industrial development,Germany,Estonia
Industrial development,Germany,India
Industrial development,Germany,Korea
Industrial development,Germany,Slovenia
Industrial development,Germany,South Africa
Industrial development,Germany,Thailand
Industrial development,Ireland,Brazil
Industrial development,Ireland,South Africa
Industrial development,Italy,Brazil
Industrial development,Italy,Chile
Industrial development,Italy,Colombia
Industrial development,Italy,Hungary
Industrial development,Italy,India
Industrial development,Italy,Poland
Industrial development,Italy,Romania
Industrial development,Italy,Slovak Republic
Industrial development,Japan,Brazil
Industrial development,Japan,Chile
Industrial development,Japan,Colombia
Industrial development,Japan,Czech Republic
Industrial development,Japan,India
Industrial development,Japan,Korea
Industrial development,Japan,Romania
Industrial development,Japan,Saudi Arabia
Industrial development,Japan,South Africa
Industrial development,Japan,Taiwan
Industrial development,Japan,Thailand
Industrial development,Japan,United Arab Emirates
Industrial development,Korea,Brazil
Industrial development,Korea,Colombia
Industrial development,Korea,Thailand
Industrial development,Kuwait,India
Industrial development,Liechtenstein,Lithuania
Industrial development,Netherlands,Colombia
Industrial development,Netherlands,India
Industrial development,Netherlands,South Africa
Industrial development,Netherlands,Thailand
Industrial development,Norway,Brazil
Industrial development,Norway,Chile
Industrial development,Norway,Estonia
Industrial development,Norway,India
Industrial development,Norway,South Africa
Industrial development,Norway,Thailand
Industrial development,Portugal,Brazil
Industrial development,Spain,Brazil
Industrial development,Spain,Chile
Industrial development,Spain,Colombia
Industrial development,Spain,Czech Republic
Industrial development,Spain,Estonia
Industrial development,Spain,India
Industrial development,Spain,Lithuania
Industrial development,Spain,Romania
Industrial development,Spain,Slovak Republic
Industrial development,Spain,Thailand
Industrial development,Sweden,Chile
Industrial development,Sweden,Czech Republic
Industrial development,Sweden,Estonia
Industrial development,Sweden,India
Industrial development,Sweden,Latvia
Industrial development,Sweden,Lithuania
Industrial development,Sweden,Poland
Industrial development,Sweden,Slovak Republic
Industrial development,Sweden,South Africa
Industrial development,Sweden,Thailand
Industrial development,Switzerland,Brazil
Industrial development,Switzerland,Chile
Industrial development,Switzerland,Colombia
Industrial development,Switzerland,India
Industrial development,Switzerland,South Africa
Industrial development,United Kingdom,Brazil
Industrial development,United Kingdom,Colombia
Industrial development,United Kingdom,Czech Republic
Industrial development,United Kingdom,India
Industrial development,United Kingdom,Poland
Industrial development,United Kingdom,Slovak Republic
Industrial development,United Kingdom,South Africa
Industrial development,United Kingdom,Thailand
Industrial development,United States,Australia
Industrial development,United States,Brazil
Industrial development,United States,Canada
Industrial development,United States,Chile
Industrial development,United States,Colombia
Industrial development,United States,Czech Republic
Industrial development,United States,Estonia
Industrial development,United States,Greece
Industrial development,United States,Hungary
Industrial development,United States,India
Industrial development,United States,Ireland
Industrial development,United States,Korea
Industrial development,United States,Kuwait
Industrial development,United States,Latvia
Industrial development,United States,Lithuania
Industrial development,United States,New Zealand
Industrial development,United States,Poland
Industrial development,United States,Portugal
Industrial development,United States,Qatar
Industrial development,United States,Romania
Industrial development,United States,Saudi Arabia
Industrial development,United States,South Africa
Industrial development,United States,Spain
Industrial development,United States,Sweden
Industrial development,United States,Taiwan
Industrial development,United States,Thailand
Power generation/non-renewable sources,Australia,India
Power generation/non-renewable sources,Australia,Thailand
Power generation/non-renewable sources,Austria,Cyprus
Power generation/non-renewable sources,Austria,Czech Republic
Power generation/non-renewable sources,Austria,Hungary
Power generation/non-renewable sources,Austria,India
Power generation/non-renewable sources,Austria,Slovak Republic
Power generation/non-renewable sources,Belgium,Colombia
Power generation/non-renewable sources,Belgium,Czech Republic
Power generation/non-renewable sources,Belgium,Hungary
Power generation/non-renewable sources,Belgium,India
Power generation/non-renewable sources,Belgium,Lithuania
Power generation/non-renewable sources,Belgium,Romania
Power generation/non-renewable sources,Belgium,Slovak Republic
Power generation/non-renewable sources,Belgium,Slovenia
Power generation/non-renewable sources,Canada,Brazil
Power generation/non-renewable sources,Canada,Czech Republic
Power generation/non-renewable sources,Canada,Hungary
Power generation/non-renewable sources,Canada,India
Power generation/non-renewable sources,Canada,Poland
Power generation/non-renewable sources,Canada,Romania
Power generation/non-renewable sources,Canada,Slovak Republic
Power generation/non-renewable sources,Canada,Thailand
Power generation/non-renewable sources,Denmark,Thailand
Power generation/non-renewable sources,Finland,Estonia
Power generation/non-renewable sources,France,Czech Republic
Power generation/non-renewable sources,France,India
Power generation/non-renewable sources,France,Lithuania
Power generation/non-renewable sources,France,Slovak Republic
Power generation/non-renewable sources,France,Thailand
Power generation/non-renewable sources,Germany,Colombia
Power generation/non-renewable sources,Germany,Czech Republic
Power generation/non-renewable sources,Germany,Hungary
Power generation/non-renewable sources,Germany,India
Power generation/non-renewable sources,Germany,Lithuania
Power generation/non-renewable sources,Germany,Slovak Republic
Power generation/non-renewable sources,Germany,Thailand
Power generation/non-renewable sources,Italy,Brazil
Power generation/non-renewable sources,Italy,Colombia
Power generation/non-renewable sources,Japan,India
Power generation/non-renewable sources,Japan,Thailand
Power generation/non-renewable sources,Korea,Thailand
Power generation/non-renewable sources,Kuwait,India
Power generation/non-renewable sources,Kuwait,Thailand
Power generation/non-renewable sources,Netherlands,India
Power generation/non-renewable sources,Norway,India
Power generation/non-renewable sources,Norway,Latvia
Power generation/non-renewable sources,Norway,Lithuania
Power generation/non-renewable sources,Norway,South Africa
Power generation/non-renewable sources,Saudi Arabia,Thailand
Power generation/non-renewable sources,Spain,Slovak Republic
Power generation/non-renewable sources,Sweden,Estonia
Power generation/non-renewable sources,Sweden,India
Power generation/non-renewable sources,Sweden,Latvia
Power generation/non-renewable sources,Sweden,Lithuania
Power generation/non-renewable sources,Sweden,South Africa
Power generation/non-renewable sources,Switzerland,Thailand
Power generation/non-renewable sources,United Arab Emirates,India
Power generation/non-renewable sources,United Kingdom,Brazil
Power generation/non-renewable sources,United Kingdom,Colombia
Power generation/non-renewable sources,United Kingdom,Czech Republic
Power generation/non-renewable sources,United Kingdom,Estonia
Power generation/non-renewable sources,United Kingdom,India
Power generation/non-renewable sources,United Kingdom,South Africa
Power generation/non-renewable sources,United States,Brazil
Power generation/non-renewable sources,United States,Chile
Power generation/non-renewable sources,United States,Colombia
Power generation/non-renewable sources,United States,Czech Republic
Power generation/non-renewable sources,United States,Greece
Power generation/non-renewable sources,United States,Hungary
Power generation/non-renewable sources,United States,India
Power generation/non-renewable sources,United States,Ireland
Power generation/non-renewable sources,United States,Korea
Power generation/non-renewable sources,United States,Kuwait
Power generation/non-renewable sources,United States,Poland
Power generation/non-renewable sources,United States,Qatar
Power generation/non-renewable sources,United States,Romania
Power generation/non-renewable sources,United States,Saudi Arabia
Power generation/non-renewable sources,United States,South Africa
Power generation/non-renewable sources,United States,Spain
Power generation/non-renewable sources,United States,Thailand
RESCHEDULING AND REFINANCING,Belgium,Brazil
RESCHEDULING AND REFINANCING,Belgium,Poland
RESCHEDULING AND REFINANCING,Germany,Poland
Rail transport,Australia,India
Rail transport,Australia,Thailand
Rail transport,Austria,Colombia
Rail transport,Belgium,Thailand
Rail transport,Canada,Brazil
Rail transport,Canada,India
Rail transport,Canada,Slovak Republic
Rail transport,Denmark,Thailand
Rail transport,France,Brazil
Rail transport,France,Chile
Rail transport,France,Colombia
Rail transport,France,Estonia
Rail transport,France,India
Rail transport,France,Korea
Rail transport,France,Poland
Rail transport,France,Slovenia
Rail transport,France,South Africa
Rail transport,France,Thailand
Rail transport,Germany,Brazil
Rail transport,Germany,Colombia
Rail transport,Germany,India
Rail transport,Germany,Korea
Rail transport,Germany,Thailand
Rail transport,Italy,Czech Republic
Rail transport,Italy,Poland
Rail transport,Italy,Slovenia
Rail transport,Italy,Thailand
Rail transport,Japan,Brazil
Rail transport,Japan,Chile
Rail transport,Japan,Colombia
Rail transport,Japan,Czech Republic
Rail transport,Japan,India
Rail transport,Japan,Korea
Rail transport,Japan,South Africa
Rail transport,Japan,Thailand
Rail transport,Korea,Colombia
Rail transport,Korea,Thailand
Rail transport,Netherlands,India
Rail transport,Norway,South Africa
Rail transport,Portugal,Brazil
Rail transport,Saudi Arabia,India
Rail transport,Saudi Arabia,Taiwan
Rail transport,Spain,Brazil
Rail transport,Spain,India
Rail transport,Sweden,Estonia
Rail transport,Sweden,India
Rail transport,Sweden,Latvia
Rail transport,Sweden,Lithuania
Rail transport,Sweden,Poland
Rail transport,Switzerland,Romania
Rail transport,United Kingdom,India
Rail transport,United Kingdom,Poland
Rail transport,United Kingdom,Thailand
Rail transport,United States,Australia
Rail transport,United States,Brazil
Rail transport,United States,Chile
Rail transport,United States,Colombia
Rail transport,United States,Czech Republic
Rail transport,United States,Hungary
Rail transport,United States,India
Rail transport,United States,Korea
Rail transport,United States,Lithuania
Rail transport,United States,Romania
Rail transport,United States,Saudi Arabia
Rail transport,United States,South Africa
Rail transport,United States,Thailand
